UPLINK: CDN - Bobst Hall,40.34938,-74.658949,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Henry House,40.348656,-74.65058,rx,47332296,68761345,69734557,14737920,22275510,16592554,54105030,66988645,67364706,20729022,17383158,38492613,69130221,23756282,26389171,11633621,48109077,69895049,20304011,17697348,10904321,41113783,34485166,36681965,23445543,29132284,25427170,18941305,28095999,23405498,29327696
UPLINK: CDN - Cloister Club,40.348169,-74.652238,rx,203318,178277,163862,154396,151825,144080,140061,143136,151606,169070,188410,232023,236374,256382,291652,287586,308673,317854,365498,2259370,557595,906049,3207446,5119445,4750697,4410482,2307219,255848,473951,250813,191136
UPLINK: CDN - Ivy Club,40.348326,-74.651047,rx,1170271,1387433,417955,167800,419420,173624,152929,147706,156394,176579,197941,314314,326337,292090,298011,606948,508418,410530,526474,532123,466714,664068,670692,3576357,784344,879717,2780067,519594,387705,676430,414642
UPLINK: CDN - Cap and Gown Club,40.34544,-74.65529,rx,300856,648979,209700,175703,152661,144316,140866,144131,152306,169369,186475,334300,307334,260341,527282,505387,1103639,744145,876150,1877402,2527234,3362079,1944036,488306,926061,836732,497773,220177,197327,206277,192466
UPLINK: CDN - Eno Hall,40.347745,-74.655352,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Class of 1879 Hall,40.348197,-74.663232,rx,1596445,1296064,825656,745838,648409,662952,968164,923999,722998,978793,2250312,2014639,2898771,4723012,3906142,3139362,3926693,5328484,5428251,8414412,7805916,6838526,4048200,2695232,2049729,1310288,1275495,993340,1229190,841310,1504416
UPLINK: CDN - 4 Mercer Street,40.349647,-74.654714,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Hoyt Laboratory,40.348708,-74.659391,rx,656804,700420,333919,312920,299974,297179,378225,312381,288690,460618,1551162,1221505,1263264,2297643,1950548,1903575,2391986,3643918,2157574,3068272,1796905,3617857,2050307,1431618,1151332,836725,1285510,555306,517238,585058,478062
UPLINK: CDN - Nassau Hall,40.348735,-74.660012,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Stanhope Hall,40.347704,-74.659195,rx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPLINK: CDN - Clio Hall,40.347978,-74.657977,rx,424104,436970,352292,111068,116068,109271,114293,103032,89087,95245,106861,116077,123461,133290,164253,147226,162299,173645,172220,194988,344757,169866,181105,444061,595949,734916,131861,122184,112604,109665,139045
UPLINK: CDN - Dodge Hall,40.343597,-74.649973,rx,233267,160947,96587,84674,82574,81305,84427,80981,79582,136234,122879,109053,200368,125438,159691,133604,538810,246597,359273,999676,946760,755394,2382260,2013794,1185367,129055,121589,108127,100482,97902,108902
UPLINK: CDN - Architectural Labo,40.346549,-74.651659,rx,82992,74547,74026,73687,69888,72120,72583,72717,69886,79446,86925,94797,105275,111697,116924,117469,124966,135182,143474,141766,158053,149202,150930,154207,134521,114737,112823,100241,91979,90889,95675
UPLINK: CDN - Peyton Hall,40.346467,-74.657882,rx,45742234,31555338,12294157,12840981,12779054,11922736,11998807,11825696,12070718,11972332,12622759,13050944,14493639,16447143,16725811,16613664,17094525,64345509,96334544,33791792,15079492,17122970,13553257,12958329,13234678,12893848,12538061,12620315,12789807,12905454,12303922
UPLINK: CDN - Brown Hall,40.345549,-74.657072,rx,31758641,23959604,23896484,15297017,10167611,6443318,2782401,3130218,2829590,4432478,8398015,14092891,22003635,24404169,22610767,26385539,25297554,22389218,19957395,19035510,22840896,47993729,24817707,33918357,32471710,17440438,20061261,11180293,6835880,4826412,5337420
